feature,mean_abs_shap_value
TTF_502,0.006204314
TTF_553,0.0062010163
TTF_526,0.0061797346
MACCS_83,0.0061555603
Protein_OHE_904,0.0061448133
Protein_OHE_977,0.006144676
Protein_OHE_589,0.0061430302
TTF_384,0.0061392724
Protein_OHE_793,0.006130515
MACCS_117,0.006117413
Protein_OHE_136,0.0060810247
TTF_369,0.0060332413
Protein_OHE_665,0.005982973
TTF_1173,0.005904489
MACCS_147,0.0058129732
Protein_OHE_927,0.0058061234
Protein_OHE_516,0.0057957177
Protein_OHE_472,0.0057410197
Protein_OHE_856,0.0057210363
Protein_OHE_575,0.0057191593
Protein_OHE_887,0.005706727
MACCS_65,0.0056868303
MACCS_136,0.005664449
TTF_789,0.0056530805
MACCS_155,0.005639043
TTF_458,0.0056015328
TTF_50,0.005557044
TTF_1010,0.0055371495
Protein_OHE_170,0.0054798326
TTF_1838,0.0054390808
Protein_OHE_683,0.0054339464
Protein_OHE_752,0.0054234364
Protein_OHE_230,0.00540687
TTF_654,0.0054068
Protein_OHE_457,0.0054043564
MACCS_35,0.0053865
Protein_OHE_243,0.0053786836
MACCS_120,0.005365104
TTF_633,0.005359373
Protein_OHE_341,0.005309075
Protein_OHE_629,0.005301768
TTF_141,0.005287289
Protein_OHE_359,0.005268955
Protein_OHE_783,0.005237015
Protein_OHE_224,0.0052322857
TTF_313,0.0052277213
Protein_OHE_830,0.005218358
TTF_445,0.005205598
Protein_OHE_430,0.005166453
TTF_489,0.0051611993
Protein_OHE_834,0.0051472546
MACCS_129,0.005141156
Protein_OHE_410,0.0051368275
TTF_1237,0.0051272404
TTF_105,0.00509018
Protein_OHE_475,0.0050895815
TTF_946,0.0050846073
TTF_877,0.0050811926
Protein_OHE_741,0.0050477446
Protein_OHE_753,0.0050342
Protein_OHE_709,0.005031653
Protein_OHE_309,0.0049953694
Protein_OHE_623,0.00498795
Protein_OHE_612,0.004973927
TTF_1533,0.0049647116
Protein_OHE_315,0.0049636234
Protein_OHE_159,0.0049336264
Protein_OHE_81,0.004926754
TTF_1659,0.0049097138
MACCS_85,0.0049032704
